row,original_index,problem_id,sample_idx,y_error,is_correct,n_steps,response_chars,primary_escape_raw_mean,primary_escape_mean,primary_escape_late,primary_escape_max,primary_coherent_escape,primary_late_coherent_escape,primary_normal_persistence,phase_escape_mean,phase_coherent_escape,shuffle_escape_mean,shuffle_coherent_escape,wrong_problem_escape_mean,wrong_problem_coherent_escape,random_escape_mean,rank_support_rate,mean_selected_rank,state_match_cosine_mean,shuffle_changed_rate_mean
0,0,0,0,0,1,5,327,0.21018856763839722,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.846127450466156,1.0
1,1,0,1,0,1,13,730,0.7367203235626221,0.6704241633415222,0.6291128993034363,0.8312771916389465,0.04189230501651764,0.060227930545806885,0.06248627230525017,0.6704241633415222,0.04189230501651764,0.8280020952224731,0.06548475474119186,0.8030746579170227,0.03663623705506325,0.9882095456123352,0.5,3.9166667461395264,0.7815366387367249,1.0
2,2,0,2,0,1,8,609,0.5200578570365906,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8270514011383057,1.0
3,3,0,3,0,1,5,351,0.6889562606811523,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.7721817493438721,1.0
4,5,0,5,0,1,8,306,0.423688143491745,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8012431859970093,1.0
5,6,0,6,0,1,6,352,0.4059158265590668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8234738111495972,1.0
6,7,0,7,0,1,8,538,0.6353901624679565,0.4580375552177429,0.4580375552177429,0.4580375552177429,0.4580375850200653,0.4580375850200653,1.0000001192092896,0.4580375552177429,0.4580375850200653,0.4892772436141968,0.4892772138118744,0.7185010313987732,0.6614375114440918,0.9853789806365967,0.1428571492433548,4.0,0.8202123045921326,1.0
7,8,0,8,0,1,8,345,0.4563724994659424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8244840502738953,1.0
8,9,0,9,0,1,14,726,0.7333090901374817,0.6874255537986755,0.6681547164916992,0.8551821708679199,0.028622619807720184,0.0622120276093483,0.04163741320371628,0.6874255537986755,0.028622619807720184,0.7816646695137024,0.0511435903608799,0.8476746678352356,0.028192488476634026,0.9901279211044312,0.5384615659713745,3.846153736114502,0.776042103767395,1.0
9,10,0,10,0,1,5,330,0.19155195355415344,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8495826125144958,1.0
