axis,variant,metric,layer,offset,n_pairs,pair_coverage,error_mean,error_ci_low,error_ci_high,control_mean,control_ci_low,control_ci_high,paired_difference,difference_ci_low,difference_ci_high,paired_effect_dz,matched_event_auroc,sign_flip_p,bh_q
step,raw,delta_norm,8,-2,59,0.28780487804878047,1.7558493624299258,1.6633514619732306,1.8519570134958978,1.9749201920072912,1.8754083351058475,2.0683859262931144,-0.21907082957736515,-0.37513746045908686,-0.06163472881761659,-0.3611221183702513,0.3349612180407929,nan,nan
step,raw,delta_norm,8,-1,108,0.526829268292683,1.710729177351351,1.6359356432049363,1.7812488164614748,1.77145577525651,1.6941670192198621,1.8519313256497736,-0.060726597905159,-0.1546230949599434,0.03722760106126466,-0.1204310300136987,0.4565329218106996,nan,nan
step,raw,delta_norm,8,0,170,0.8292682926829268,1.7580838315627154,1.705430712559644,1.8087531878317102,1.7156834609368268,1.6583037033063524,1.7760442317671636,0.0424003706258886,-0.029805770367383955,0.11325782668064621,0.08947181732985245,0.5334948096885813,0.2539492101579684,0.6063549194922919
step,raw,delta_norm,8,1,189,0.9219512195121952,1.6609990536851227,1.6053577531424779,1.720732578241005,1.683125994823597,1.6304948592075597,1.7365028439375458,-0.0221269411384744,-0.09132523868607466,0.04725011859148259,-0.04619393651595852,0.4759665182945606,nan,nan
step,raw,delta_norm,8,2,146,0.7121951219512195,1.775055834895944,1.699687098226931,1.848545746188866,1.8193875653286502,1.7507051861551528,1.8959745554687226,-0.044331730432706336,-0.1366716785483981,0.05168887603364578,-0.07696626906903478,0.4843310189528992,nan,nan
step,raw,delta_norm,10,-2,59,0.28780487804878047,2.205491959038427,2.0921888154442025,2.3168238260483336,2.4501063985339666,2.3344775723198716,2.5635860063767026,-0.24461443949553927,-0.4222734328043663,-0.06774536093412824,-0.35311052612737565,0.3464521689169779,nan,nan
step,raw,delta_norm,10,-1,108,0.526829268292683,2.15282600345435,2.0733644690226627,2.231528460841488,2.2265418624436415,2.1416017723304255,2.3166918984441844,-0.07371585898929173,-0.17511954238569297,0.03139788287657273,-0.13023660784277225,0.4647633744855967,nan,nan
step,raw,delta_norm,10,0,170,0.8292682926829268,2.1931071295457727,2.1343276826423754,2.252672267591252,2.1668095357277815,2.10451542198658,2.224786982080516,0.02629759381799137,-0.054148719135452716,0.10667484300978043,0.04989380658683031,0.5247404844290657,0.5122975404919016,0.7124092422894732
step,raw,delta_norm,10,1,189,0.9219512195121952,2.0843893024656506,2.020325149982064,2.1520005832431175,2.1339480315566695,2.0755462460416965,2.191064562699782,-0.0495587290910186,-0.12290091840993791,0.024754161446813545,-0.09196330836840473,0.46381680244114104,nan,nan
step,raw,delta_norm,10,2,146,0.7121951219512195,2.2181678544985104,2.1303369823588083,2.3018049447503808,2.28270969325549,2.2016980071386247,2.364205399910881,-0.06454183875697933,-0.16979645113014194,0.04003096645417275,-0.10088030648265246,0.4756520923250141,nan,nan
step,raw,delta_norm,12,-2,59,0.28780487804878047,2.53107678486129,2.4045900185734537,2.655906784685991,2.84266684823117,2.70790000694283,2.990377995371819,-0.31159006336988027,-0.525889947555833,-0.10140902733398713,-0.3769776692024329,0.3435794311979316,nan,nan
step,raw,delta_norm,12,-1,108,0.526829268292683,2.4474018160943634,2.357676858013427,2.539816971288787,2.5720721229358956,2.4696271533491436,2.6784582733832023,-0.1246703068415324,-0.24724225291499385,0.0065432723473619475,-0.18221066268869568,0.4433299039780521,nan,nan
