axis,variant,metric,layer,n_rows,n_positive,auroc_high_is_error,eligible_chains,eligible_fraction,mean_rank,expected_top1
step,raw,delta_norm,8,385,170,0.4994254445964432,170,0.8292682926829268,1.6,0.5882352941176471
step,raw,delta_norm,10,385,170,0.48705882352941177,170,0.8292682926829268,1.6,0.5882352941176471
step,raw,delta_norm,12,385,170,0.48131326949384406,170,0.8292682926829268,1.6294117647058823,0.5764705882352941
step,raw,delta_norm,14,385,170,0.493187414500684,170,0.8292682926829268,1.6294117647058823,0.5764705882352941
step,raw,delta_norm,16,385,170,0.4878796169630643,170,0.8292682926829268,1.6529411764705881,0.5764705882352941
step,raw,delta_norm,18,385,170,0.49633378932968536,170,0.8292682926829268,1.6352941176470588,0.5764705882352941
step,raw,delta_norm,20,385,170,0.49783857729138165,170,0.8292682926829268,1.611764705882353,0.5941176470588235
step,raw,delta_norm,22,385,170,0.49578659370725037,170,0.8292682926829268,1.6058823529411765,0.5882352941176471
step,raw,relative_delta_norm,8,385,170,0.519343365253078,170,0.8292682926829268,1.6352941176470588,0.5823529411764706
step,raw,relative_delta_norm,10,385,170,0.5195622435020519,170,0.8292682926829268,1.6,0.6
step,raw,relative_delta_norm,12,385,170,0.5163885088919289,170,0.8292682926829268,1.6058823529411765,0.5882352941176471
step,raw,relative_delta_norm,14,385,170,0.5488098495212038,170,0.8292682926829268,1.511764705882353,0.6529411764705882
step,raw,relative_delta_norm,16,385,170,0.5356224350205199,170,0.8292682926829268,1.5705882352941176,0.6235294117647059
step,raw,relative_delta_norm,18,385,170,0.5378932968536252,170,0.8292682926829268,1.5470588235294118,0.6176470588235294
step,raw,relative_delta_norm,20,385,170,0.532640218878249,170,0.8292682926829268,1.5470588235294118,0.6235294117647059
step,raw,relative_delta_norm,22,385,170,0.5192612859097128,170,0.8292682926829268,1.576470588235294,0.6
step,raw,turn_angle_rad,8,369,154,0.41404409543944426,154,0.751219512195122,1.7077922077922079,0.5714285714285714
step,raw,turn_angle_rad,10,369,154,0.39136212624584715,154,0.751219512195122,1.7467532467532467,0.564935064935065
step,raw,turn_angle_rad,12,369,154,0.3787375415282392,154,0.751219512195122,1.7857142857142858,0.551948051948052
step,raw,turn_angle_rad,14,369,154,0.3784657203261854,154,0.751219512195122,1.7857142857142858,0.5454545454545454
step,raw,turn_angle_rad,16,369,154,0.38550286922379945,154,0.751219512195122,1.7922077922077921,0.551948051948052
step,raw,turn_angle_rad,18,369,154,0.39673814557535486,154,0.751219512195122,1.7467532467532467,0.577922077922078
step,raw,turn_angle_rad,20,369,154,0.39996979764421625,154,0.751219512195122,1.7337662337662338,0.577922077922078
step,raw,turn_angle_rad,22,369,154,0.40039263062518876,154,0.751219512195122,1.7272727272727273,0.5844155844155844
step,raw,menger_curvature,8,369,154,0.4928722440350347,154,0.751219512195122,1.6428571428571428,0.6103896103896104
step,raw,menger_curvature,10,369,154,0.498912715191785,154,0.751219512195122,1.6818181818181819,0.6038961038961039
step,raw,menger_curvature,12,369,154,0.493325279371791,154,0.751219512195122,1.6428571428571428,0.6168831168831169
step,raw,menger_curvature,14,369,154,0.4836303231652069,154,0.751219512195122,1.7207792207792207,0.577922077922078
step,raw,menger_curvature,16,369,154,0.4792811839323467,154,0.751219512195122,1.7207792207792207,0.5974025974025974
step,raw,menger_curvature,18,369,154,0.4667170039263063,154,0.751219512195122,1.6818181818181819,0.6233766233766234
step,raw,menger_curvature,20,369,154,0.47160978556327393,154,0.751219512195122,1.655844155844156,0.6233766233766234
