error_row,control_row,error_event,control_event,cost,same_problem,reused_control
0,221,1,1,0.10644287967698149,0,0
1,372,1,1,0.1420142101573137,0,0
2,270,1,1,0.0025321464111162017,0,0
3,210,2,2,0.21140437508607438,0,0
4,332,2,2,0.0360069459478398,0,0
5,263,2,2,0.0029625515317541584,0,0
6,276,2,3,0.75572230035753,0,1
7,380,1,1,0.00041439236491448884,0,0
8,223,2,2,0.003361697707398426,0,0
9,215,0,0,0.11527583889460992,0,0
10,379,0,0,0.16619705454784217,0,0
11,269,2,2,0.0023512987422921296,0,0
12,314,1,1,0.11801944235871227,0,0
13,283,1,1,0.04144038673100745,0,0
14,252,4,3,0.20019596016494987,0,0
15,200,2,2,0.04224432371769925,0,0
16,222,4,3,0.20267643519348016,0,0
17,255,0,0,0.0023512987422921296,0,0
18,360,3,3,0.0035128163478289837,0,0
19,201,0,0,0.014122242043006297,0,0
20,312,0,0,0.24877511010249684,0,0
21,209,5,4,0.11762224968062052,0,0
22,374,5,5,0.16095320661318646,0,0
23,324,1,1,0.01614938733214705,0,0
24,330,1,1,0.0008978297780398305,0,0
25,276,3,3,0.047256746759159196,0,0
26,338,0,0,0.0006211481538560061,0,0
27,214,0,0,0.0,0,0
28,383,1,1,0.0002219424822330115,0,0
29,218,1,1,0.0075998314823537225,0,0
30,296,2,2,0.014383440495595009,0,0
31,205,6,5,0.0883643940130459,0,0
32,391,2,2,0.015405914429527181,0,0
33,321,2,2,0.0,0,0
34,386,3,3,0.0,0,0
35,249,3,3,0.01685640501262555,0,0
36,301,3,3,0.0008978297780398305,0,0
37,364,1,1,0.008865494754163875,0,0
38,242,5,5,0.004926866978282909,0,0
39,282,2,2,0.000645037745140602,0,0
40,265,1,1,0.0009395874634733344,0,0
41,279,1,1,0.0010839557627345473,0,0
42,241,3,3,0.022832694957180214,0,0
43,382,1,1,0.0,0,0
44,359,0,0,0.018597267515373044,0,0
45,307,3,3,0.0015843545045621426,0,0
46,299,3,3,0.00423196465720914,0,0
47,227,3,3,0.0038473099638589386,0,0
48,300,3,3,0.004373078347346359,0,0
49,337,2,2,1.159755007964868,0,1
50,388,2,2,0.0006211481538560061,0,0
51,367,5,4,0.12027658269641489,0,0
52,387,3,3,0.012359987038692996,0,0
53,329,3,3,0.002664557250469029,0,0
54,224,0,0,0.08849341572955516,0,0
55,264,0,0,0.0040975735589048375,0,0
56,304,2,2,0.4646072213179585,0,1
57,392,0,0,0.05550249596914087,0,0
58,309,0,0,0.23269695355671371,0,0
59,366,2,3,0.24780299548736823,0,0
60,258,1,1,0.0,0,0
61,363,1,1,0.0058081498181311985,0,0
62,284,1,1,0.010093400342495965,0,0
63,335,2,2,0.009078015170491553,0,0
64,212,3,3,0.000502185290845902,0,0
65,202,4,4,0.009209217152502704,0,0
66,337,6,6,0.009763540509754287,0,0
67,293,1,1,0.001718443741083044,0,0
68,228,2,2,0.003847309963859012,0,0
69,319,1,1,0.0360069459478398,0,0
70,272,0,0,0.00040202267667726363,0,0
71,285,2,2,0.060089985681279566,0,0
72,393,3,3,0.0,0,0
73,233,1,1,0.0,0,0
74,213,4,4,0.0,0,0
75,266,1,1,0.010693830604176922,0,0
76,354,4,4,0.000645037745140602,0,0
77,292,3,3,0.00044090799501498613,0,0
78,334,1,1,0.06828068577963607,0,1
79,365,1,1,0.0019756745177911027,0,0
80,274,2,2,0.00037888879029164264,0,0
81,358,4,4,0.0842729162978622,0,0
82,211,7,6,0.06850786907868138,0,0
83,375,3,3,0.0012987540107617145,0,0
84,244,3,3,0.0066680562357788855,0,0
85,384,0,0,0.20256468815563997,0,0
86,280,1,1,0.07194171419592424,0,0
87,220,1,1,0.0006703325481844929,0,0
88,230,5,4,0.11647532325745853,0,0
89,245,3,3,0.48940780809682033,0,1
90,376,0,0,0.00028129024321352946,0,0
91,235,0,0,0.0028835323587075076,0,0
92,253,4,4,0.002664557250469029,0,0
93,202,5,4,0.3143884855341892,0,1
94,256,1,1,0.0016833688481834618,0,0
95,311,0,0,0.006948968954797118,0,0
96,273,1,1,0.004446297184096963,0,0
97,344,2,2,0.0,0,0
98,259,0,0,0.004677336976227349,0,0
99,351,4,4,0.0003680635830496993,0,0
100,296,2,2,0.3683495290627155,0,1
101,347,2,2,0.001850245744112095,0,0
102,280,1,1,0.12278839005899755,0,1
103,385,2,2,0.0035128163478289837,0,0
104,373,2,2,0.07216892142017999,0,0
105,291,1,1,0.004173570588051061,0,0
106,353,1,1,0.01493844169285134,0,0
107,260,1,1,0.0058081498181311985,0,0
108,320,1,1,0.009763540509754287,0,0
109,216,1,1,0.0826802046795884,0,0
110,251,4,4,0.0008587952720935689,0,0
111,271,1,1,0.022267768831008616,0,0
112,239,2,2,0.15495169180420973,0,0
113,350,3,3,0.01973482357277007,0,0
114,268,1,1,0.0034360110594494828,0,0
115,318,0,0,0.16445761296648154,0,0
116,208,3,3,0.00040202267667726363,0,0
117,378,3,3,0.00846225122847116,0,0
118,315,1,1,0.0013345845094417086,0,0
119,297,1,1,0.014155013735776155,0,0
120,253,5,5,0.18998298886462112,0,1
121,237,5,4,0.11642884709429964,0,0
122,331,0,0,0.0002219424822330115,0,0
123,306,1,1,0.02785033307399994,0,0
124,236,0,0,0.0011689497737952387,0,0
125,261,3,3,0.003313486975216178,0,0
126,275,2,2,0.027466528660016434,0,0
127,204,1,1,0.00045513053013800233,0,0
128,361,1,1,0.0032201258301806134,0,0
129,327,2,2,0.0022680558662559027,0,0
130,302,1,1,0.004130564657175171,0,0
131,246,1,1,0.0007558311195535721,0,0
132,278,3,3,0.01113371645371415,0,0
133,286,1,1,0.0009395874634733344,0,0
134,280,2,1,0.8212931020590386,0,1
135,240,1,1,0.015485957307339435,0,0
136,349,2,2,0.0002885027160142595,0,0
137,238,2,2,0.0,0,0
138,343,2,2,0.08732785762470208,0,0
139,226,3,3,0.023270628367315083,0,0
140,310,2,2,0.19974080380662929,0,0
141,219,1,1,0.003087313111633628,0,0
142,207,1,1,0.0010839557627345866,0,0
143,352,1,1,0.0005377292703214979,0,0
144,313,0,0,0.0,0,0
145,368,1,1,0.0014938263004056309,0,0
146,390,1,1,0.0,0,0
147,248,2,2,0.007096130862405585,0,0
148,267,3,3,0.013459519512233703,0,0
149,253,5,4,0.14437386766257887,0,1
150,357,5,4,0.11583028551231793,0,0
151,234,1,1,0.06024932634055042,0,0
152,253,5,4,0.12687018879995904,0,1
153,322,0,0,0.0029625515317542868,0,0
154,245,4,3,0.1826234542608149,0,0
155,287,4,4,0.0,0,0
156,254,0,0,0.03798991339015987,0,0
157,289,2,2,0.00045513053013800233,0,0
158,203,0,0,0.0,0,0
159,340,2,2,0.0774730174410748,0,0
160,288,2,2,0.000427341866919125,0,0
161,294,1,1,0.059095377905371234,0,0
162,348,2,2,0.0003576957686311564,0,0
163,247,0,0,0.16444233023093396,0,0
164,243,2,2,0.0006211481538560061,0,0
165,356,1,1,0.0009843276593264805,0,0
166,328,0,0,0.0,0,0
