error_row,control_row,error_event,control_event,cost,same_problem,reused_control
0,221,47,49,0.10644287967698149,0,0
1,372,27,76,0.1420142101573137,0,0
2,270,61,65,0.0025321464111162017,0,0
3,210,103,127,0.21140437508607438,0,0
4,332,78,141,0.0360069459478398,0,0
5,263,137,79,0.0029625515317541584,0,0
6,276,154,271,0.75572230035753,0,1
7,380,47,17,0.00041439236491448884,0,0
8,223,63,125,0.003361697707398426,0,0
9,215,0,0,0.11527583889460992,0,0
10,379,0,0,0.16619705454784217,0,0
11,269,111,163,0.0023512987422921296,0,0
12,314,33,30,0.11801944235871227,0,0
13,283,58,40,0.04144038673100745,0,0
14,252,150,166,0.20019596016494987,0,0
15,200,62,75,0.04224432371769925,0,0
16,222,214,133,0.20267643519348016,0,0
17,255,0,0,0.0023512987422921296,0,0
18,360,125,109,0.0035128163478289837,0,0
19,201,0,0,0.014122242043006297,0,0
20,312,0,0,0.24877511010249684,0,0
21,209,246,148,0.11762224968062052,0,0
22,374,238,242,0.16095320661318646,0,0
23,324,48,66,0.01614938733214705,0,0
24,330,22,66,0.0008978297780398305,0,0
25,276,160,271,0.047256746759159196,0,0
26,338,0,0,0.0006211481538560061,0,0
27,214,0,0,0.0,0,0
28,383,100,39,0.0002219424822330115,0,0
29,218,47,53,0.0075998314823537225,0,0
30,296,234,178,0.014383440495595009,0,0
31,205,251,299,0.0883643940130459,0,0
32,391,229,130,0.015405914429527181,0,0
33,321,43,65,0.0,0,0
34,386,171,158,0.0,0,0
35,249,258,106,0.01685640501262555,0,0
36,301,179,145,0.0008978297780398305,0,0
37,364,57,34,0.008865494754163875,0,0
38,242,278,178,0.004926866978282909,0,0
39,282,100,68,0.000645037745140602,0,0
40,265,75,24,0.0009395874634733344,0,0
41,279,34,29,0.0010839557627345473,0,0
42,241,209,174,0.022832694957180214,0,0
43,382,41,58,0.0,0,0
44,359,0,0,0.018597267515373044,0,0
45,307,186,141,0.0015843545045621426,0,0
46,299,183,198,0.00423196465720914,0,0
47,227,167,156,0.0038473099638589386,0,0
48,300,131,136,0.004373078347346359,0,0
49,337,64,104,1.159755007964868,0,1
50,388,50,135,0.0006211481538560061,0,0
51,367,184,138,0.12027658269641489,0,0
52,387,115,90,0.012359987038692996,0,0
53,329,155,125,0.002664557250469029,0,0
54,224,0,0,0.08849341572955516,0,0
55,264,0,0,0.0040975735589048375,0,0
56,304,138,116,0.4646072213179585,0,1
57,392,0,0,0.05550249596914087,0,0
58,309,0,0,0.23269695355671371,0,0
59,366,79,93,0.24780299548736823,0,0
60,258,32,84,0.0,0,0
61,363,25,21,0.0058081498181311985,0,0
62,284,16,45,0.010093400342495965,0,0
63,335,89,124,0.009078015170491553,0,0
64,212,115,141,0.000502185290845902,0,0
65,202,168,133,0.009209217152502704,0,0
66,337,287,240,0.009763540509754287,0,0
67,293,90,50,0.001718443741083044,0,0
68,228,141,108,0.003847309963859012,0,0
69,319,32,68,0.0360069459478398,0,0
70,272,0,0,0.00040202267667726363,0,0
71,285,66,180,0.060089985681279566,0,0
72,393,224,249,0.0,0,0
73,233,80,80,0.0,0,0
74,213,107,280,0.0,0,0
75,266,57,54,0.010693830604176922,0,0
76,354,240,100,0.000645037745140602,0,0
77,292,324,115,0.00044090799501498613,0,0
78,334,19,31,0.06828068577963607,0,1
79,365,110,65,0.0019756745177911027,0,0
80,274,142,109,0.00037888879029164264,0,0
81,358,216,105,0.0842729162978622,0,0
82,211,234,190,0.06850786907868138,0,0
83,375,228,145,0.0012987540107617145,0,0
84,244,164,81,0.0066680562357788855,0,0
85,384,0,0,0.20256468815563997,0,0
86,280,74,214,0.07194171419592424,0,0
87,220,77,33,0.0006703325481844929,0,0
88,230,267,219,0.11647532325745853,0,0
89,245,299,181,0.48940780809682033,0,1
90,376,0,0,0.00028129024321352946,0,0
91,235,0,0,0.0028835323587075076,0,0
92,253,221,136,0.002664557250469029,0,0
93,202,167,133,0.3143884855341892,0,1
94,256,113,100,0.0016833688481834618,0,0
95,311,0,0,0.006948968954797118,0,0
96,273,100,28,0.004446297184096963,0,0
97,344,111,79,0.0,0,0
98,259,0,0,0.004677336976227349,0,0
99,351,198,150,0.0003680635830496993,0,0
100,296,118,178,0.3683495290627155,0,1
101,347,118,95,0.001850245744112095,0,0
102,280,74,214,0.12278839005899755,0,1
103,385,109,50,0.0035128163478289837,0,0
104,373,141,161,0.07216892142017999,0,0
105,291,136,101,0.004173570588051061,0,0
106,353,111,31,0.01493844169285134,0,0
107,260,41,28,0.0058081498181311985,0,0
108,320,37,43,0.009763540509754287,0,0
109,216,44,34,0.0826802046795884,0,0
110,251,257,133,0.0008587952720935689,0,0
111,271,82,72,0.022267768831008616,0,0
112,239,88,115,0.15495169180420973,0,0
113,350,195,182,0.01973482357277007,0,0
114,268,84,77,0.0034360110594494828,0,0
115,318,0,0,0.16445761296648154,0,0
116,208,100,105,0.00040202267667726363,0,0
117,378,163,111,0.00846225122847116,0,0
118,315,54,37,0.0013345845094417086,0,0
119,297,36,82,0.014155013735776155,0,0
120,253,292,211,0.18998298886462112,0,1
121,237,196,108,0.11642884709429964,0,0
122,331,0,0,0.0002219424822330115,0,0
