task,rank,feature,group,importance
online_response,1,mean.depth.direction_dispersion,depth,0.014805370729839212
online_response,2,mean.depth.path_length_mean,depth,0.014765856584155527
online_response,3,mean.depth.tortuosity,depth,0.013237104858779533
online_response,4,mean.depth.turn_angle_mean,depth,0.012847874326530728
online_response,5,mean.legacy.resultant.layer_median,legacy_geometry,0.011803431200977137
online_response,6,mean.legacy.coherence.layer_median,legacy_geometry,0.011786283885869327
online_response,7,last.legacy.coherence.layer_median,legacy_geometry,0.011526094437155125
online_response,8,last.legacy.resultant.layer_median,legacy_geometry,0.01143456391954587
online_response,9,last.depth.path_length_mean,depth,0.010958308553066958
online_response,10,last.depth.direction_dispersion,depth,0.0107247048389872
online_response,11,last.depth.tortuosity,depth,0.009842945302788338
online_response,12,max_jump.coupling.depth_time_misalignment,coupling,0.009495823312123106
online_response,13,last.depth.turn_angle_mean,depth,0.00943636307142003
online_response,14,std.coupling.depth_time_misalignment,coupling,0.008626658729439818
online_response,15,slope.coupling.depth_time_misalignment,coupling,0.007583686508935705
online_response,16,mean.depth.endpoint_displacement,depth,0.007516730204953766
online_response,17,slope.depth.update_anisotropy,depth,0.007491248957335944
online_response,18,mean.temporal.velocity_mean,temporal,0.006490689727382611
online_response,19,mean.depth.update_anisotropy,depth,0.0064643025653336
online_response,20,mean.depth.spectral_entropy,depth,0.006268216195201644
online_response,21,mean.depth.effective_rank,depth,0.006265466019157393
online_response,22,max_jump.depth.endpoint_displacement,depth,0.005814163949522991
online_response,23,last.depth.endpoint_displacement,depth,0.005712670575238459
online_response,24,std.depth.endpoint_displacement,depth,0.005576452901229457
online_response,25,std.depth.update_anisotropy,depth,0.005413084397951002
online_response,26,std.temporal.velocity_mean,temporal,0.005139625682529549
online_response,27,max_jump.depth.update_anisotropy,depth,0.005041529485889933
online_response,28,max_jump.temporal.direction_dispersion,temporal,0.005028980347372117
online_response,29,max_jump.temporal.velocity_mean,temporal,0.005015236282785362
online_response,30,max_jump.temporal.turn_angle_mean,temporal,0.004985289596135664
response_0.25,1,mean.legacy.resultant.layer_median,legacy_geometry,0.005597857085607759
response_0.25,2,mean.legacy.coherence.layer_median,legacy_geometry,0.005353114149216094
response_0.25,3,mean.depth.turn_angle_mean,depth,0.005037524077433365
response_0.25,4,mean.depth.path_length_mean,depth,0.004612225647237953
response_0.25,5,mean.depth.direction_dispersion,depth,0.0044407660459714815
response_0.25,6,mean.depth.endpoint_displacement,depth,0.004421428088470758
response_0.25,7,last.legacy.resultant.layer_median,legacy_geometry,0.004367698639046929
response_0.25,8,last.legacy.coherence.layer_median,legacy_geometry,0.004214005445407351
response_0.25,9,last.depth.endpoint_displacement,depth,0.003942897446949796
response_0.25,10,last.depth.turn_angle_mean,depth,0.0034911576386122294
response_0.25,11,mean.depth.tortuosity,depth,0.003315849326970871
response_0.25,12,last.depth.path_length_mean,depth,0.0030266973444991185
response_0.25,13,last.depth.direction_dispersion,depth,0.0027595130978932416
response_0.25,14,mean.depth.effective_rank,depth,0.0025688016245941987
response_0.25,15,mean.depth.spectral_entropy,depth,0.002561851459791458
response_0.25,16,mean.legacy.cloud_V.layer_median,legacy_geometry,0.002200143561343379
response_0.25,17,last.coupling.depth_time_misalignment,coupling,0.0021339759190847655
response_0.25,18,mean.coupling.depth_time_misalignment,coupling,0.0021298345510323527
response_0.25,19,last.depth.effective_rank,depth,0.0020832603697107563
response_0.25,20,last.depth.spectral_entropy,depth,0.002079042186387635
response_0.25,21,mean.legacy.cloud_D.layer_median,legacy_geometry,0.0020022914539722324
response_0.25,22,max_jump.coupling.depth_time_misalignment,coupling,0.0018909510298996644
response_0.25,23,std.temporal.velocity_cv,temporal,0.0018298468564407055
