feature,group,r2_from_output
mean.legacy.coherence.layer_median,legacy_geometry,-2.940708514592528
mean.legacy.cloud_D.layer_median,legacy_geometry,-3.1601964982028754
mean.legacy.resultant.layer_median,legacy_geometry,-3.7929647765106287
last.legacy.coherence.layer_median,legacy_geometry,-4.219291735187952
last.legacy.resultant.layer_median,legacy_geometry,-4.478636647042578
last.depth.endpoint_displacement,depth,-4.803434313295142
last.legacy.cloud_D.layer_median,legacy_geometry,-4.81616534707364
std.temporal.layer_transport_misalignment,temporal,-6.755217081428209
max_jump.depth.effective_rank,depth,-7.477228163720223
slope.depth.endpoint_displacement,depth,-7.690508003644187
max_jump.depth.spectral_entropy,depth,-7.7722218668912895
slope.temporal.turn_angle_mean,temporal,-7.895744773476556
max_jump.depth.update_anisotropy,depth,-8.221557158881684
slope.legacy.coherence.layer_median,legacy_geometry,-8.528827694842871
mean.depth.endpoint_displacement,depth,-8.576499210231697
slope.legacy.resultant.layer_median,legacy_geometry,-8.889430680896668
slope.legacy.cloud_D.layer_median,legacy_geometry,-9.171888093288992
std.legacy.coherence.layer_median,legacy_geometry,-9.290004768578171
std.legacy.resultant.layer_median,legacy_geometry,-9.380724696714058
mean.depth.path_length_mean,depth,-9.532190911630611
mean.depth.tortuosity,depth,-9.577419293359098
mean.depth.direction_dispersion,depth,-9.756715143520296
mean.legacy.cloud_V.layer_median,legacy_geometry,-10.52815376805511
max_jump.depth.path_length_mean,depth,-10.529368806656006
last.legacy.cloud_V.layer_median,legacy_geometry,-10.718685572836446
mean.temporal.layer_transport_misalignment,temporal,-10.750268759422509
std.coupling.depth_time_misalignment,coupling,-11.163075889388633
mean.temporal.direction_dispersion,temporal,-11.432189288043393
mean.depth.spectral_entropy,depth,-11.605534147308854
mean.depth.effective_rank,depth,-11.669596781498685
mean.temporal.spectral_entropy,temporal,-11.698949551366542
slope.depth.turn_angle_mean,depth,-11.98527952685611
max_jump.temporal.spectral_entropy,temporal,-12.038711426200384
max_jump.legacy.coherence.layer_median,legacy_geometry,-12.062780288838137
std.depth.update_anisotropy,depth,-12.15697798682872
max_jump.depth.turn_angle_mean,depth,-12.348986301509626
max_jump.temporal.layer_transport_misalignment,temporal,-12.641783415434567
max_jump.temporal.velocity_cv,temporal,-13.010455452916604
std.depth.effective_rank,depth,-13.160770841016292
std.depth.spectral_entropy,depth,-13.318187090123919
max_jump.temporal.direction_dispersion,temporal,-13.436079657459638
std.temporal.turn_angle_mean,temporal,-13.609364231011863
mean.depth.turn_angle_mean,depth,-14.275130404319789
std.temporal.velocity_cv,temporal,-14.374906238785577
mean.depth.update_anisotropy,depth,-14.786677181374909
slope.depth.direction_dispersion,depth,-14.795627254440918
max_jump.coupling.depth_time_misalignment,coupling,-14.915315596482458
slope.legacy.cloud_V.layer_median,legacy_geometry,-15.13560582716947
max_jump.legacy.resultant.layer_median,legacy_geometry,-15.399422363605172
last.temporal.turn_angle_mean,temporal,-16.31336532669405
max_jump.depth.tortuosity,depth,-16.72878753662211
slope.coupling.depth_time_misalignment,coupling,-17.26368134947257
last.temporal.spectral_entropy,temporal,-17.27672164512375
max_jump.temporal.velocity_mean,temporal,-17.3022331963518
std.temporal.velocity_mean,temporal,-17.35886654551561
last.temporal.direction_dispersion,temporal,-17.45087884351587
last.depth.turn_angle_mean,depth,-18.586652651044137
mean.coupling.depth_time_misalignment,coupling,-18.936335353838388
last.depth.path_length_mean,depth,-19.049592684424276
max_jump.legacy.cloud_V.layer_median,legacy_geometry,-19.537576137506118
max_jump.legacy.cloud_D.layer_median,legacy_geometry,-20.000375466178802
std.legacy.cloud_V.layer_median,legacy_geometry,-20.34691957834402
max_jump.depth.endpoint_displacement,depth,-20.803135224263603
std.legacy.cloud_D.layer_median,legacy_geometry,-21.11028652050644
std.temporal.direction_dispersion,temporal,-21.243597867936966
last.temporal.layer_transport_misalignment,temporal,-21.29772895065803
max_jump.temporal.turn_angle_mean,temporal,-22.526126966296825
mean.temporal.velocity_mean,temporal,-22.806697162588485
std.temporal.spectral_entropy,temporal,-22.943223736480718
last.coupling.depth_time_misalignment,coupling,-23.095581535241173
last.depth.update_anisotropy,depth,-23.867558830257675
std.depth.turn_angle_mean,depth,-24.85642238953293
slope.depth.tortuosity,depth,-25.939448310462833
slope.depth.path_length_mean,depth,-26.081743082779926
last.temporal.velocity_mean,temporal,-27.53047198652546
last.depth.spectral_entropy,depth,-28.791998712292006
max_jump.depth.direction_dispersion,depth,-28.903975776962678
last.depth.effective_rank,depth,-29.00560452964761
std.depth.endpoint_displacement,depth,-29.444582066406397
last.depth.direction_dispersion,depth,-30.18499834474758
last.depth.tortuosity,depth,-37.0430090846221
slope.temporal.velocity_mean,temporal,-39.16057217180144
std.depth.path_length_mean,depth,-41.91012884729738
slope.temporal.direction_dispersion,temporal,-42.04349909937879
mean.temporal.velocity_cv,temporal,-44.27610656213048
slope.temporal.layer_transport_misalignment,temporal,-47.20917567637361
slope.temporal.spectral_entropy,temporal,-48.38440975653059
std.depth.tortuosity,depth,-49.74804231797018
mean.temporal.turn_angle_mean,temporal,-52.39389214073452
slope.temporal.velocity_cv,temporal,-53.82385818118042
slope.depth.update_anisotropy,depth,-55.82378905503602
last.temporal.velocity_cv,temporal,-63.903843840276366
std.depth.direction_dispersion,depth,-70.80348162786922
slope.depth.spectral_entropy,depth,-94.17323157672686
slope.depth.effective_rank,depth,-96.06663850834714
