problem_id,n_cor,n_err,failrate,pr_mid_cor,pr_mid_err,norm_mid_cor,norm_mid_err,setdim_mid_cor,setdim_mid_err,pr_deep_cor,pr_deep_err,norm_deep_cor,norm_deep_err,setdim_deep_cor,setdim_deep_err
2,5,7,0.583,156.7,158.194,2.42,2.57,2.06,2.16,139.548,140.179,8.43,8.7,2.22,2.36
4,4,3,0.429,163.919,160.402,2.62,2.64,1.29,,146.005,145.253,9.14,9.27,1.24,
5,10,1,0.091,161.627,161.859,2.51,2.59,5.36,,139.906,140.714,8.59,9.31,4.9,
7,2,10,0.833,160.805,161.262,2.28,2.26,,4.29,140.507,142.616,7.9,8.16,,3.67
8,2,10,0.833,156.24,160.675,2.22,2.3,,6.56,142.39,146.379,7.93,8.18,,6.8
12,1,10,0.909,159.287,159.399,2.52,2.42,,2.98,143.001,144.539,8.38,8.39,,3.23
13,6,6,0.5,161.481,159.902,2.28,2.3,3.5,3.27,143.412,144.283,7.83,7.92,3.77,3.45
14,11,1,0.083,159.626,157.792,2.44,2.38,4.13,,143.944,143.568,8.3,8.22,3.85,
16,10,2,0.167,162.834,157.135,2.56,2.39,2.94,,139.621,145.015,8.66,7.87,2.65,
17,10,2,0.167,159.477,161.452,2.56,2.47,3.27,,140.244,140.007,8.54,8.31,3.24,
18,10,1,0.091,160.993,159.065,2.55,2.61,3.0,,146.687,145.237,8.95,8.57,3.45,
19,5,2,0.286,165.046,168.274,2.48,2.48,1.62,,140.923,145.449,8.83,9.0,1.58,
20,5,7,0.583,163.725,162.025,2.32,2.27,3.01,3.99,146.792,144.672,8.15,8.07,2.82,3.48
28,5,2,0.286,162.349,162.91,2.61,2.25,1.86,,140.791,140.778,9.1,7.93,1.94,
31,11,1,0.083,161.579,158.309,2.55,2.48,1.64,,143.963,141.591,8.64,8.1,1.62,
32,5,1,0.167,157.138,170.755,2.7,2.69,1.51,,146.132,153.961,9.42,10.02,1.46,
36,9,2,0.182,163.505,162.949,2.63,2.56,3.94,,138.101,135.961,9.29,8.47,3.98,
37,1,7,0.875,163.941,159.277,2.01,2.3,,3.11,150.07,148.815,8.0,8.36,,2.95
38,8,4,0.333,158.316,157.072,2.57,2.46,3.34,1.78,139.643,138.771,8.6,8.59,3.21,1.87
39,8,4,0.333,162.018,163.663,2.44,2.48,2.29,1.96,143.853,145.205,8.28,8.53,2.23,1.72
41,8,1,0.111,165.203,168.171,2.47,2.38,1.93,,143.658,149.133,8.52,8.69,1.81,
43,6,5,0.455,163.953,165.669,2.33,2.27,4.08,2.69,146.377,145.822,8.25,8.16,4.07,2.74
44,8,4,0.333,157.727,158.184,2.68,2.7,4.57,1.91,138.261,138.692,9.09,9.19,4.67,1.83
47,11,1,0.083,162.776,161.167,2.48,2.22,4.7,,141.486,143.376,8.47,8.23,4.64,
53,11,1,0.083,158.112,156.772,2.52,2.49,3.2,,140.879,141.563,8.36,8.32,2.91,
56,7,1,0.125,165.39,166.538,2.74,2.46,1.33,,146.89,145.302,8.9,8.48,1.39,
58,6,1,0.143,160.121,155.53,2.59,2.58,2.4,,140.737,137.81,8.95,8.65,2.13,
60,9,1,0.1,156.058,162.146,2.47,2.8,4.12,,142.096,145.305,8.39,10.43,4.19,
63,10,1,0.091,159.819,159.825,2.48,2.36,4.38,,138.326,138.057,8.43,7.9,4.81,
64,9,2,0.182,163.246,164.597,2.59,2.71,2.1,,140.65,143.286,8.59,8.9,2.08,
65,8,1,0.111,162.22,158.956,2.48,2.32,1.66,,144.199,146.03,8.46,8.48,1.8,
66,6,1,0.143,165.57,163.703,2.63,2.35,1.69,,147.016,143.212,9.8,8.51,1.83,
70,5,2,0.286,162.467,161.764,2.63,2.68,2.45,,137.47,133.619,8.73,8.61,2.33,
73,9,3,0.25,161.807,159.461,2.52,2.52,4.78,,137.33,136.58,8.54,8.55,4.71,
74,11,1,0.083,164.096,166.832,2.43,2.35,3.99,,142.684,142.81,8.51,8.67,4.4,
75,1,10,0.909,161.657,163.762,2.76,2.53,,1.8,141.391,144.409,10.21,9.26,,1.94
78,9,3,0.25,160.912,160.706,2.38,2.37,3.72,,141.972,143.358,8.51,8.63,3.79,
89,1,8,0.889,165.384,163.258,2.68,2.69,,3.18,138.669,137.02,9.17,8.88,,3.49
93,8,2,0.2,166.912,160.356,2.43,2.42,2.44,,145.81,142.958,8.33,8.2,2.39,
97,4,2,0.333,161.451,159.984,2.57,2.66,1.59,,140.244,141.313,8.82,9.71,1.57,
98,1,1,0.5,160.002,164.475,2.92,2.44,,,142.467,148.505,10.8,8.72,,
102,6,5,0.455,154.07,153.476,2.53,2.5,1.61,1.72,139.205,140.102,8.44,8.82,1.72,1.54
104,7,2,0.222,165.827,161.607,2.54,2.4,1.81,,141.662,143.869,8.83,7.96,1.87,
106,11,1,0.083,161.289,163.664,2.52,2.62,2.68,,138.928,137.744,8.26,8.41,2.55,
107,4,8,0.667,161.502,161.914,2.23,2.22,2.4,4.9,147.476,142.108,8.4,8.15,2.33,5.51
108,4,7,0.636,162.392,159.404,2.39,2.49,2.3,3.96,146.529,143.778,8.01,8.25,2.28,3.69
111,5,5,0.5,161.309,160.763,2.35,2.2,2.33,2.78,144.892,141.777,8.5,8.41,2.39,3.11
112,3,1,0.25,159.254,160.755,2.58,2.68,,,140.87,142.989,9.8,10.37,,
115,5,7,0.583,156.799,157.872,2.51,2.53,2.5,3.9,137.083,140.017,8.64,8.67,2.5,3.98
116,11,1,0.083,156.729,154.382,2.54,2.7,3.55,,137.327,138.339,8.61,8.57,3.65,
122,5,7,0.583,157.495,158.547,2.42,2.49,2.06,2.33,139.618,139.689,8.38,8.66,2.39,2.62
124,4,3,0.429,161.262,163.72,2.33,2.4,1.34,,149.773,151.962,8.26,8.5,1.28,
125,3,1,0.25,165.587,166.292,2.38,2.27,,,148.198,152.307,8.22,8.11,,
132,8,2,0.2,163.308,163.568,2.52,2.63,3.0,,140.11,144.664,8.6,9.06,2.99,
135,8,1,0.111,164.433,163.838,2.46,2.53,2.58,,142.747,147.284,8.6,9.7,2.83,
138,10,2,0.167,159.851,159.345,2.49,2.47,2.55,,142.983,139.978,8.64,8.49,3.53,
141,11,1,0.083,161.438,162.087,2.46,2.68,4.45,,141.845,141.805,8.05,8.53,5.06,
144,6,6,0.5,155.663,154.641,2.74,2.58,3.68,2.57,136.049,136.374,8.87,8.53,3.53,2.62
145,9,1,0.1,157.856,160.741,2.62,2.74,1.9,,137.239,144.652,9.11,10.28,2.14,
146,9,1,0.1,162.488,166.98,2.62,2.43,1.98,,142.674,143.131,9.12,8.34,1.93,
147,2,10,0.833,163.928,163.857,2.09,2.31,,1.82,146.43,146.26,7.6,8.31,,1.62
150,9,3,0.25,161.018,160.746,2.35,2.31,2.92,,144.617,143.526,8.24,8.19,3.37,
151,7,1,0.125,162.204,161.019,2.38,2.55,3.45,,143.161,143.462,8.63,8.45,3.39,
154,4,4,0.5,156.945,157.752,2.47,2.49,2.22,2.64,141.269,143.559,8.18,8.32,2.26,2.91
155,10,2,0.167,164.542,165.54,2.39,2.49,4.37,,146.228,143.824,8.07,7.95,4.96,
163,8,3,0.273,159.668,158.494,2.42,2.44,3.2,,139.206,137.637,8.63,8.76,3.78,
164,6,1,0.143,159.393,156.508,2.74,2.88,1.97,,140.349,140.38,9.38,9.87,1.96,
169,5,1,0.167,163.698,160.769,2.6,2.65,2.84,,140.159,140.928,8.67,9.05,3.08,
172,7,4,0.364,156.842,160.39,2.46,2.55,2.31,1.48,141.266,144.009,8.15,8.64,2.14,1.4
175,4,7,0.636,162.235,164.141,2.16,2.24,1.85,3.48,145.237,144.743,7.89,8.49,1.75,3.3
177,5,7,0.583,166.229,162.439,2.44,2.37,2.51,3.95,147.428,146.075,8.62,8.4,2.73,4.13
178,9,2,0.182,167.583,163.36,2.66,2.43,1.52,,143.531,139.703,9.33,8.39,1.78,
181,6,5,0.455,159.976,160.372,2.54,2.55,1.71,2.95,140.486,141.293,8.46,8.26,1.62,3.26
182,3,6,0.667,163.188,158.909,2.46,2.3,,3.06,141.979,140.827,8.14,8.19,,2.8
184,1,11,0.917,154.044,156.458,2.26,2.4,,5.24,139.326,141.341,8.09,8.32,,5.63
186,6,6,0.5,164.208,163.168,2.32,2.32,3.84,3.69,146.489,145.634,8.05,8.15,3.59,3.53
188,8,4,0.333,159.749,155.385,2.56,2.51,2.43,2.44,141.56,144.143,8.23,8.85,2.57,2.2
192,9,3,0.25,159.054,163.6,2.52,2.54,2.67,,145.223,146.358,8.72,9.01,2.52,
193,8,2,0.2,156.114,155.583,2.43,2.54,2.85,,139.161,140.982,8.12,8.28,2.52,
198,9,3,0.25,167.365,169.511,2.41,2.43,2.22,,143.668,146.302,8.23,8.1,2.34,
199,6,6,0.5,160.327,159.162,2.54,2.54,1.9,1.99,139.953,142.732,8.5,8.77,1.84,1.91
