problem_id,n_cor,n_err,failrate,pr_mid_cor,pr_mid_err,norm_mid_cor,norm_mid_err,setdim_mid_cor,setdim_mid_err,pr_deep_cor,pr_deep_err,norm_deep_cor,norm_deep_err,setdim_deep_cor,setdim_deep_err
2,4,3,0.429,157.337,159.443,2.37,2.63,1.91,,139.834,139.868,8.38,9.0,2.03,
4,2,1,0.333,164.531,163.018,2.6,2.76,,,145.992,142.704,9.37,10.36,,
5,10,1,0.091,161.627,161.859,2.51,2.59,5.36,,139.906,140.714,8.59,9.31,4.9,
7,2,7,0.778,160.805,161.652,2.28,2.26,,4.69,140.507,141.968,7.9,8.15,,3.93
8,1,1,0.5,160.629,156.796,2.24,2.2,,,142.471,143.468,8.01,7.44,,
13,4,3,0.429,161.054,161.432,2.23,2.34,2.11,,144.0,145.195,7.55,7.89,2.47,
14,7,1,0.125,160.239,157.792,2.4,2.38,3.57,,143.562,143.568,8.36,8.22,4.2,
17,10,2,0.167,159.477,161.452,2.56,2.47,3.27,,140.244,140.007,8.54,8.31,3.24,
19,3,2,0.4,166.149,168.274,2.45,2.48,,,144.397,145.449,8.79,9.0,,
20,2,3,0.6,163.132,163.958,2.23,2.23,,,146.767,144.983,7.95,8.13,,
28,5,2,0.286,162.349,162.91,2.61,2.25,1.86,,140.791,140.778,9.1,7.93,1.94,
32,4,1,0.2,158.738,170.755,2.65,2.69,1.3,,145.877,153.961,9.46,10.02,1.48,
36,9,1,0.1,163.505,162.763,2.63,2.53,3.94,,138.101,135.59,9.29,8.55,3.98,
37,1,3,0.75,163.941,161.611,2.01,2.25,,,150.07,148.323,8.0,8.05,,
39,7,3,0.3,162.264,163.617,2.41,2.47,4.04,,143.83,143.922,8.13,8.41,3.88,
43,1,1,0.5,164.939,164.94,2.4,2.23,,,145.936,145.012,8.81,7.96,,
44,6,4,0.4,157.156,158.184,2.65,2.7,3.43,1.91,137.066,138.692,9.07,9.19,3.45,1.83
60,8,1,0.111,156.866,162.146,2.45,2.8,3.28,,141.953,145.305,8.36,10.43,3.73,
63,10,1,0.091,159.819,159.825,2.48,2.36,4.38,,138.326,138.057,8.43,7.9,4.81,
64,6,2,0.25,163.721,164.597,2.54,2.71,2.07,,140.573,143.286,8.42,8.9,2.21,
